"IDCNTRY","YVar","EqVar","EqVarValue","N","WTD_N","PCT","SE_PCT","MEAN","SE_MEAN","n0","nUsed"
"Singapore","erea","en11badz_d_clicked","0",2316,14317.915065,91.7488268534555,0.533595686679702,589.419468860642,"3.23379944762485",6320,2521
"Singapore","erea","en11badz_d_clicked","1",205,1287.641492,8.25117314654451,0.533595686679707,580.497060476675,"8.28880224079094",6320,2521
"Singapore","erea","en11zadz_d_clicked","0",2317,14353.070955,91.5895524303943,0.601573067661976,585.881122890546,"3.1725606448606",6320,2533
"Singapore","erea","en11zadz_d_clicked","1",216,1318.007868,8.41044756960572,0.601573067661979,580.141511623302,"7.2425478385444",6320,2533
"Singapore","erea","en11tadz_d_clicked","0",2339,14474.314844,92.7707238911325,0.548194759631228,588.965919941502,"3.03790762066098",6320,2520
"Singapore","erea","en11tadz_d_clicked","1",181,1127.929309,7.22927610886746,0.548194759631227,587.803192891248,"8.87093519129177",6320,2520
"Slovenia","erea","en11madz_d_clicked","0",1631,7380.10183199999,95.3192123750316,0.77486196996061,528.174637522521,"2.6521257113661",4303,1710
"Slovenia","erea","en11madz_d_clicked","1",79,362.410562,4.68078762496844,0.774861969960606,510.205339717212,"11.3294088898982",4303,1710
"Slovenia","erea","en11radz_d_clicked","0",1628,7377.85106799999,95.5556028398549,0.677183698318514,526.670895319851,"2.51150959631814",4303,1705
"Slovenia","erea","en11radz_d_clicked","1",77,343.152043,4.44439716014512,0.677183698318513,531.22663163784,"8.27416725130053",4303,1705
"Slovenia","erea","en11badz_d_clicked","0",1635,7409.25156599999,94.7654293760744,0.716581828233963,522.301088782083,"2.22491105233326",4303,1726
"Slovenia","erea","en11badz_d_clicked","1",91,409.265814,5.23457062392563,0.716581828233961,513.375030876615,"10.7753138415545",4303,1726
"Slovenia","erea","en11zadz_d_clicked","0",1608,7296.18191299999,93.4529933631999,0.594177906757871,526.960493934843,"2.93993247456406",4303,1727
"Slovenia","erea","en11zadz_d_clicked","1",119,511.146295999999,6.54700663680015,0.594177906757868,494.136399753724,"8.15152692753879",4303,1727
"Slovenia","erea","en11tadz_d_clicked","0",1663,7559.99465899999,95.9463536139622,0.554304607884408,525.211647129657,"3.04276993304865",4303,1731
"Slovenia","erea","en11tadz_d_clicked","1",68,319.402915,4.05364638603779,0.554304607884406,501.757865740361,"9.8750214561561",4303,1731
"Sweden","erea","en11madz_d_clicked","0",1445,38858.37052,94.0214713387248,0.915686513078767,560.639827616281,"2.81579156003027",3879,1539
"Sweden","erea","en11madz_d_clicked","1",94,2470.881157,5.97852866127518,0.915686513078766,560.325318761838,"10.5624415942779",3879,1539
"Sweden","erea","en11radz_d_clicked","0",1482,40531.932197,96.5448960191528,0.53619096787383,559.237642941736,"2.6893281065459",3879,1536
"Sweden","erea","en11radz_d_clicked","1",54,1450.537999,3.45510398084723,0.536190967873829,547.791794832307,"14.504070342175",3879,1536
"Sweden","erea","en11badz_d_clicked","0",1471,39874.79881,96.5097312263948,0.631026228915914,560.397701319931,"2.89545518032955",3879,1533
"Sweden","erea","en11badz_d_clicked","1",62,1442.069762,3.49026877360516,0.631026228915915,529.955425800213,"9.73684848074271",3879,1533
"Sweden","erea","en11zadz_d_clicked","0",1484,40419.995203,97.47518591713,0.412126862906447,562.819871394521,"2.66137740810591",3879,1528
"Sweden","erea","en11zadz_d_clicked","1",44,1046.963616,2.52481408286996,0.412126862906443,507.388902422611,"14.6082143091752",3879,1528
"Sweden","erea","en11tadz_d_clicked","0",1492,40438.806599,96.7058985160702,0.626118376656724,557.571130454977,"2.37274268737069",3879,1539
"Sweden","erea","en11tadz_d_clicked","1",47,1377.470608,3.29410148392983,0.626118376656731,544.235498944253,"16.0493614477812",3879,1539
"Chinese Taipei","erea","en11madz_d_clicked","0",1405,64119.5059349999,80.8801237547207,1.10237108202221,544.785289722408,"2.53512074445037",4299,1719
"Chinese Taipei","erea","en11madz_d_clicked","1",314,15157.704532,19.1198762452793,1.10237108202221,529.536163143222,"5.05665379792375",4299,1719
"Chinese Taipei","erea","en11radz_d_clicked","0",1410,64722.3330389999,81.8259419537873,1.06525857213067,549.95612656195,"2.63177658368652",4299,1724
"Chinese Taipei","erea","en11radz_d_clicked","1",314,14375.238579,18.1740580462127,1.06525857213067,542.795413295496,"4.47343454155241",4299,1724
"Chinese Taipei","erea","en11badz_d_clicked","0",1469,66740.9096209999,84.6999304041034,0.973832918238823,545.044245359107,"2.40051409596243",4299,1719
"Chinese Taipei","erea","en11badz_d_clicked","1",250,12055.978762,15.3000695958966,0.973832918238823,531.239752961656,"6.17710335223138",4299,1719
"Chinese Taipei","erea","en11zadz_d_clicked","0",1420,64733.0518319999,81.6496322499989,1.12408910317478,546.034761022667,"2.63458390059138",4299,1719
"Chinese Taipei","erea","en11zadz_d_clicked","1",299,14548.446502,18.3503677500011,1.12408910317478,530.473585054725,"5.09160213475887",4299,1719
"Chinese Taipei","erea","en11tadz_d_clicked","0",1389,64123.9421779999,81.2624672698011,1.08609629516546,553.716496732577,"2.78263205488338",4299,1714
"Chinese Taipei","erea","en11tadz_d_clicked","1",325,14785.724649,18.7375327301989,1.08609629516546,542.478105943386,"4.70825625553182",4299,1714
"United States","erea","en11madz_d_clicked","0",1430,1236035.424103,87.1526524823058,1.13111956847243,558.16150225696,"2.8052079087459",4090,1641
"United States","erea","en11madz_d_clicked","1",211,182206.464007,12.8473475176942,1.13111956847243,543.391719674176,"6.52011215680216",4090,1641
"United States","erea","en11radz_d_clicked","0",1502,1322519.62969,93.1651487721528,0.840766538435724,558.777616698113,"3.09918350474",4090,1618
"United States","erea","en11radz_d_clicked","1",116,97023.6728429999,6.83485122784724,0.840766538435722,547.31866880972,"10.8226493142345",4090,1618
"United States","erea","en11badz_d_clicked","0",1504,1348410.784824,93.0454555209676,0.815989529564295,556.123676294451,"3.14920188117349",4090,1632
"United States","erea","en11badz_d_clicked","1",128,100784.962861,6.95454447903244,0.815989529564293,534.243245657837,"9.57599998809434",4090,1632
"United States","erea","en11zadz_d_clicked","0",1512,1321139.983246,93.3354378829271,0.855119564487018,561.500140437609,"2.74219629469486",4090,1620
"United States","erea","en11zadz_d_clicked","1",108,94335.2244699999,6.66456211707294,0.855119564487022,531.506352899377,"13.6424663560401",4090,1620
"United States","erea","en11tadz_d_clicked","0",1505,1309411.578471,92.6318455363848,0.785199379058279,556.249693209945,"3.07404718944072",4090,1609
"United States","erea","en11tadz_d_clicked","1",104,104153.671027,7.36815446361518,0.785199379058278,542.525960221832,"9.91252790686212",4090,1609
